County,POP2010
Hughes,31025
Humboldt,160966
Humphreys,27913
Hunt,86129
Hunterdon,128349
Huntingdon,45913
Huntington,37124
Huron,92744
Hutchinson,29493
Hyde,7230
Iberia,73240
Iberville,33387
Ida,7089
Idaho,16267
Imperial,174528
Independence,36647
Indian River,138028
Indiana,88880
Ingham,280895
Inyo,18546
Ionia,63905
Iosco,25887
Iowa,40042
Iredell,159437
Irion,1599
Iron,74526
Iroquois,29718
Irwin,9538
Isabella,70311
Isanti,37816
Island,78506
Isle of Wight,35270
Issaquena,1406
Itasca,45058
Itawamba,23401
Izard,13696
Jack,9044
Jackson,1714413
James City,67009
Jasper,288871
Jay,21253
Jeff Davis,17410
Jefferson,3584625
Jefferson Davis,44081
Jenkins,8340
Jennings,28525
Jerauld,2071
Jerome,22374
Jersey,22985
Jessamine,48586
Jewell,3077
Jim Hogg,5300
Jim Wells,40838
Jo Daviess,22678
Johnson,1121732
Johnston,179835
Jones,148429
Josephine,82713
Juab,10246
Judith Basin,2072
Juneau,57939
Juniata,24636
Kalamazoo,250331
Kalawao,90
Kalkaska,17153
Kanabec,16239
Kanawha,193063
Kandiyohi,42239
Kane,522394
Kankakee,113449
Karnes,14824
Kauai,67091
Kaufman,103350
Kay,46562
Kearney,6489
Kearny,3977
Keith,8368
Kemper,10456
Kenai Peninsula,55400
Kendall,148146
Kenedy,416
Kennebec,122151
Kenosha,166426
Kent,952095
Kenton,159720
Keokuk,10511
Kern,839631
Kerr,49625
Kershaw,61697
Ketchikan Gateway,13477
Kewaunee,20574
Keweenaw,2156
Keya Paha,824
Kidder,2435
Kimball,3821
Kimble,4607
King,1931535
King George,23584
King William,15935
King and Queen,6945
Kingfisher,15034
Kingman,7858
Kings,2657682
Kingsbury,5148
Kinney,3598
Kiowa,13397
Kit Carson,8270
Kitsap,251133
Kittitas,40915
Kittson,4552
Klamath,66380
Kleberg,32061
Klickitat,20318
Knott,16346
Knox,672676
Kodiak Island,13592
Koochiching,13311
Kootenai,138494
Kosciusko,77358
Kossuth,15543
La Crosse,114638
La Paz,20489
La Plata,51334
La Salle,135700
LaGrange,37128
LaMoure,4139
LaPorte,111467
Labette,21607
Lac qui Parle,7259
Lackawanna,214437
Laclede,35571
Lafayette,335661
Lafourche,96318
Lake,1876613
Lake and Peninsula,1631
Lake of the Woods,4045
Lamar,138332
Lamb,13977
Lamoille,24475
Lampasas,19677
Lancaster,892895
Lander,5775
Lane,353465
Langlade,19977
Lanier,10078
Lapeer,88319
Laramie,91738
Larimer,299630
Larue,14193
Las Animas,15507
Lassen,34895
Latah,37244
Latimer,11154
Lauderdale,200785
Laurel,58849
Laurens,114971
Lavaca,19263
Lawrence,401668
Le Flore,50384
Le Sueur,27703
Lea,64727
Leake,23805
Leavenworth,76227
Lebanon,133568
Lee,1079698
Leelanau,21708
Leflore,32317
Lehigh,349497
Lemhi,7936
Lenawee,99892
Lenoir,59495
Leon,292288
Leslie,11310
Letcher,24519
Levy,40801
Lewis,158977
Lewis and Clark,63395
Lexington,269433
Liberty,149800
Licking,166492
Limestone,106166
Lincoln,633028
Linn,350315
Lipscomb,3302
Litchfield,189927
Little River,13171
Live Oak,11531
Livingston,438050
Llano,19301
Logan,232160
Long,14464
Lonoke,68356
Lorain,301356
Los Alamos,17950
Los Angeles,9818605
Loudon,48556
Loudoun,312311
Louisa,44540
Loup,632
Love,9423
Loving,82
Lowndes,180311
Lubbock,278831
Lucas,450713
Luce,6631
Lumpkin,29966
Luna,25095
Lunenburg,12914
Luzerne,320918
Lycoming,116111
Lyman,3755
Lynchburg,75568
Lynn,5915
Lyon,131422
Mackinac,11113
Macomb,840978
Macon,218696
Macoupin,47765
Madera,150865
Madison,1359917
Magoffin,13333
Mahaska,22381
Mahnomen,5413
Mahoning,238823
Major,7527
Malheur,31313
Manassas,37821
Manassas Park,14273
Manatee,322833
Manistee,24733
Manitowoc,81442
Marathon,134063
Marengo,21027
Maricopa,3817117
Maries,9176
Marin,252409
Marinette,41749
Marion,1962056
Mariposa,18251
Marlboro,28933
Marquette,82481
Marshall,365726
Martin,219725
Martinsville,13821
Mason,152896
Massac,15429
Matagorda,36702
Matanuska-Susitna,88995
Mathews,8978
Maui,154834
Maury,80956
Maverick,54258
Mayes,41259
McClain,34506
McCone,1734
McCook,5618
