,type_ids,parent_id,scientific_name,en_name,en_wikipedia_url
1348,2060,2062.0,Alibertia edulis,Puruí,https://en.wikipedia.org/wiki/Alibertia_edulis
1349,2061,2062.0,Alibertia patinoi,Borojó,https://en.wikipedia.org/wiki/Alibertia_patinoi
1350,2062,,Alibertia,Alibertia,https://en.wikipedia.org/wiki/Alibertia_(plant)
1351,2063,,Alpinia caerulea,Native ginger,https://en.wikipedia.org/wiki/Alpinia_caerulea
1352,2064,,Amomyrtus luma,Luma,https://en.wikipedia.org/wiki/Amomyrtus_luma
1353,2065,2067.0,Annona reticulata,Custard apple,https://en.wikipedia.org/wiki/Annona_reticulata
1354,2066,2067.0,Annona squamosa,Sugar-apple,https://en.wikipedia.org/wiki/Annona_squamosa
1355,2067,,Annona,Annona,https://en.wikipedia.org/wiki/Annona
1356,2068,2070.0,Antidesma bunius,Bignay,https://en.wikipedia.org/wiki/Antidesma_bunius
1357,2069,2070.0,Antidesma ghaesembilla,Jungle currant,https://en.wikipedia.org/wiki/Antidesma_ghaesembilla
1358,2070,,Antidesma,Antidesma,https://en.wikipedia.org/wiki/Antidesma
1359,2071,,Antigonon leptopus,Coral vine,https://en.wikipedia.org/wiki/Antigonon_leptopus
1360,2072,,Areca catechu,Betel palm,https://en.wikipedia.org/wiki/Areca_catechu
1361,2073,1369.0,Arenga pinnata,Sugar palm,https://en.wikipedia.org/wiki/Arenga_pinnata
1362,2074,119.0,Aronia prunifolia,Purple chokeberry,https://en.wikipedia.org/wiki/Aronia_prunifolia
1363,2075,,Arracacia xanthorrhiza,Arracacha,https://en.wikipedia.org/wiki/Arracacia_xanthorrhiza
1364,2076,,Athertonia diversifolia,Atherton oak,https://en.wikipedia.org/wiki/Athertonia_diversifolia
1365,2077,2081.0,Atriplex cinerea,Grey saltbush,https://en.wikipedia.org/wiki/Atriplex_cinerea
1366,2078,2081.0,Atriplex halimus,Mediterranean saltbush,https://en.wikipedia.org/wiki/Atriplex_halimus
1367,2079,2081.0,Atriplex hortensis,Garden orache,https://en.wikipedia.org/wiki/Atriplex_hortensis
1368,2080,2081.0,Atriplex patula,Common orache,https://en.wikipedia.org/wiki/Atriplex_patula
1369,2081,,Atriplex,Atriplex,https://en.wikipedia.org/wiki/Atriplex
1370,2082,,Austromyrtus dulcis,Midyim,https://en.wikipedia.org/wiki/Austromyrtus_dulcis
1371,2083,,Barringtonia edulis,Cut nut,
1372,2084,,Lysiphyllum hookeri,Hooker's bauhinia,https://en.wikipedia.org/wiki/Lysiphyllum_hookeri
1373,2085,843.0,,Free fridge,
1374,2086,,Bertholletia excelsa,Brazil nut,https://en.wikipedia.org/wiki/Brazil_nut
1375,2087,524.0,Betula kenaica,Kenai birch,https://en.wikipedia.org/wiki/Betula_kenaica
1376,2088,,Billardiera scandens,Apple berry,https://en.wikipedia.org/wiki/Billardiera_scandens
1377,2089,,Bixa orellana,Achiote,https://en.wikipedia.org/wiki/Bixa_orellana
1378,2090,,Blighia sapida,Ackee,https://en.wikipedia.org/wiki/Ackee
1379,2091,,Bouea macrophylla,Gandaria,https://en.wikipedia.org/wiki/Bouea_macrophylla
1380,2092,371.0,Camellia sinensis,Tea plant,https://en.wikipedia.org/wiki/Camellia_sinensis
1381,2093,,Canarium ovatum,Pili nut,https://en.wikipedia.org/wiki/Canarium_ovatum
1382,2094,,Vasconcellea,Vasconcellea,https://en.wikipedia.org/wiki/Vasconcellea
1383,2095,483.0,Carpobrotus glaucescens,Pigface,https://en.wikipedia.org/wiki/Carpobrotus_glaucescens
1384,2096,144.0,Carya cathayensis,Chinese hickory,
1385,2097,144.0,Carya floridana,Scrub hickory,https://en.wikipedia.org/wiki/Carya_floridana
1386,2098,144.0,Carya ovalis,Red hickory,https://en.wikipedia.org/wiki/Carya_ovalis
1387,2099,144.0,Carya texana,Black hickory,https://en.wikipedia.org/wiki/Carya_texana
1388,2100,263.0,Citrus unshiu,Satsuma mandarin,https://en.wikipedia.org/wiki/Citrus_unshiu
1389,2101,,Phanera purpurea,Hong kong orchid tree,https://en.wikipedia.org/wiki/Phanera_purpurea
1390,2102,,Piliostigma racemosum,Bidi leaf tree,https://en.wikipedia.org/wiki/Piliostigma_racemosum
1391,2103,2105.0,Bauhinia tomentosa,Yellow bell orchid tree,https://en.wikipedia.org/wiki/Bauhinia_tomentosa
1392,2104,,Beaucarnea recurvata,Ponytail palm,https://en.wikipedia.org/wiki/Beaucarnea_recurvata
1393,2105,,Bauhinia,Bauhinia,https://en.wikipedia.org/wiki/Bauhinia
1394,2106,1305.0,Brahea dulcis,Soyate,
1395,2107,,Caesalpinia gilliesii,Yellow bird of paradise,https://en.wikipedia.org/wiki/Caesalpinia_gilliesii
1396,2108,370.0,Callicarpa americana,American beautyberry,https://en.wikipedia.org/wiki/Callicarpa_americana
1397,2109,,Choerospondias axillaris,Lapsi,https://en.wikipedia.org/wiki/Choerospondias_axillaris
1398,2110,,Clausena lansium,Wampee,https://en.wikipedia.org/wiki/Clausena_lansium
1399,2111,277.0,Cornus canadensis,Creeping dogwood,https://en.wikipedia.org/wiki/Cornus_canadensis
1400,2112,277.0,Cornus capitata,Evergreen dogwood,https://en.wikipedia.org/wiki/Cornus_capitata
